covidence	author	year	country	location	latitude	longitude	climate	expe_t	mat	map	map_units	soil	type	ph	om	om_units	oc	oc_units	texture	clay	clay_units	sand	sand_units	ec	ec_units	cec	cec_units	N	N_units	N_types	P	P_units	P_type	as_s	cd_s	cu_s	pb_s	zn_s	se_s	ni_s	co_s	mn_s	cr_s	hg_s	units_s	n_s	fraction_s	Bioavailable	sp	name	cultivar	p_density	units_density	ba_total	ba_stem	ba_leaf	br	units_b	as_ba	cd_ba	cu_ba	pb_ba	zn_ba	se_ba	ni_ba	co_ba	mn_ba	cr_ba	hg_ba	units_te_ba	n_te_ba	organs_ba	as_br	cd_br	cu_br	pb_br	zn_br	se_br	ni_br	co_br	mn_br	cr_br	hg_br	units_te_br	n_te_br	organs_br	as_ba_1	cd_ba_1	cu_ba_1	pb_ba_1	zn_ba_1	se_ba_1	ni_ba_1	co_ba_1	mn_ba_1	cr_ba_1	hg_ba_1	units_te_ba_1	n_te_ba_1	organs_ba_1	as_ba_2	cd_ba_2	cu_ba_2	pb_ba_2	zn_ba_2	se_ba_2	ni_ba_2	co_ba_2	mn_ba_2	cr_ba_2	hg_ba_2	units_te_ba_2	n_te_ba_2	organs_ba_2	as_ba_3	cd_ba_3	cu_ba_3	pb_ba_3	zn_ba_3	se_ba_3	ni_ba_3	co_ba_3	mn_ba_3	cr_ba_3	hg_ba_3	units_te_ba_3	n_te_ba_3	organs_ba_3	comments	implement	s	b	ba	ba_1	ba_2
8296	Chopin	2008	France	Reims	NA	NA	Oceanic	NA	NA	750	mm	Vineyard soil	Mollisols	7.9	3.1	%	NA	NA	Silty clay loam	NA	%	NA	%	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	233.7057719	142.4581371	319.3668995	NA	NA	NA	NA	NA	NA	mg kg-1	5	Total	Bioavailable fraction	Grapevine	Vitis vinifera	cv. Pinot	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.45761605	0.8	29.3	NA	NA	NA	NA	NA	NA	mg kg-1	5	leaves	NA	NA	36.13446135	2.6036	82.93878049	NA	NA	NA	NA	NA	NA	mg kg-1	5	roots	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA
6402	Chu	2018	China	Huainan	NA	NA	Subtropical monsoon	25	NA	NA	NA	NA	Copper mine tailings	6.92	0.25	%	NA	NA	NA	NA	NA	NA	NA	0.14817	mS cm−1	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.72	918.03	26.25	262.46	NA	NA	NA	NA	74.13	NA	mg kg-1	3	Total	DTPA-extractable	Ryegrass	Lolium perenne	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.126486572	55.9321234	2.17390087	92.5531598	NA	NA	NA	NA	2.968088	NA	mg kg-1	3	shoots	NA	0.499459468	772.8813614	19.97282443	245.744754	NA	NA	NA	NA	7.0851088	NA	mg kg-1	3	roots	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA
1783	Ciura	2004	Poland	Krakow	NA	NA	Moderately continental	NA	NA	NA	NA	NA	Eutric Cambisols	4.8	NA	NA	1.2	%	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.58	7.44	8.2	43	NA	2.32	NA	177.3	1.05	NA	mg kg-1	4	Total	NA	Red beet	Beta vulgaris	var. cicla	NA	NA	NA	NA	NA	NA	NA	NA	1.04	7.6	3	31.2	NA	NA	NA	23.5	0.7	NA	mg m2 year-1	4	whole	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA
1783	Ciura	2004	Poland	Krakow	NA	NA	Moderately continental	NA	NA	NA	NA	NA	Eutric Cambisols	4.8	NA	NA	1.2	%	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.58	7.44	8.2	43	NA	2.32	NA	177.3	1.05	NA	mg kg-1	4	Total	NA	Field pumpkin	Cucurbita pepo	convar. giromontiana	NA	NA	NA	NA	NA	NA	NA	NA	2.06	14.1	12.6	136.3	NA	NA	NA	66.5	14.8	NA	mg m2 year-1	4	shoots	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA
1783	Ciura	2004	Poland	Krakow	NA	NA	Moderately continental	NA	NA	NA	NA	NA	Eutric Cambisols	4.8	NA	NA	1.2	%	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.58	7.44	8.2	43	NA	2.32	NA	177.3	1.05	NA	mg kg-1	4	Total	NA	Chicory	Cichorium intybus	var. foliosum	NA	NA	NA	NA	NA	NA	NA	NA	0.74	3.9	3.5	20.7	NA	NA	NA	22.7	1.5	NA	mg m2 year-1	4	shoots	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA
1783	Ciura	2004	Poland	Krakow	NA	NA	Moderately continental	NA	NA	NA	NA	NA	Eutric Cambisols	4.8	NA	NA	1.2	%	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.58	7.44	8.2	43	NA	2.32	NA	177.3	1.05	NA	mg kg-1	4	Total	NA	Common bean	Phaseolus vulgaris	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.42	5.2	2.6	22.5	NA	NA	NA	16	3.2	NA	mg m2 year-1	4	shoots	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA
1783	Ciura	2004	Poland	Krakow	NA	NA	Moderately continental	NA	NA	NA	NA	NA	Eutric Cambisols	4.8	NA	NA	1.2	%	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.58	7.44	8.2	43	NA	2.32	NA	177.3	1.05	NA	mg kg-1	4	Total	NA	Barley	Hordeum vulgare	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.57	3.6	4.6	39.5	NA	NA	NA	16.8	14.3	NA	mg m2 year-1	4	shoots	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA
1783	Ciura	2004	Poland	Krakow	NA	NA	Moderately continental	NA	NA	NA	NA	NA	Eutric Cambisols	4.8	NA	NA	1.2	%	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.58	7.44	8.2	43	NA	2.32	NA	177.3	1.05	NA	mg kg-1	4	Total	NA	White cabbage	Brassica oleracea	var. capitata	NA	NA	NA	NA	NA	NA	NA	NA	1.49	6.2	8.3	29.5	NA	NA	NA	31.6	3.8	NA	mg m2 year-1	4	shoots	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA
1783	Ciura	2004	Poland	Krakow	NA	NA	Moderately continental	NA	NA	NA	NA	NA	Eutric Cambisols	4.8	NA	NA	1.2	%	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.58	7.44	8.2	43	NA	2.32	NA	177.3	1.05	NA	mg kg-1	4	Total	NA	Maize	Zea mays	convar. saccharata	NA	NA	NA	NA	NA	NA	NA	NA	0.93	9.6	4.2	45	NA	NA	NA	23.5	16.6	NA	mg m2 year-1	4	shoots	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA
1783	Ciura	2004	Poland	Krakow	NA	NA	Moderately continental	NA	NA	NA	NA	NA	Eutric Cambisols	4.8	NA	NA	1.2	%	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.58	7.44	8.2	43	NA	2.32	NA	177.3	1.05	NA	mg kg-1	4	Total	NA	Alfalfa	Medicago sativa	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.26	12.4	11.7	43.8	NA	NA	NA	46.9	10.3	NA	mg m2 year-1	4	shoots	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA
