covidence;author;year;country;location;latitude;longitude;climate;expe_t;mat;map;map_units;soil;type;ph;om;om_units;oc;oc_units;texture;clay;clay_units;sand;sand_units;ec;ec_units;cec ;cec_units;N;N_units;N_types;P;P_units;P_type;as_s;cd_s;cu_s;pb_s;zn_s;se_s;ni_s;co_s;mn_s;cr_s;hg_s;units_s;n_s;fraction_s;Bioavailable;sp;name;cultivar;p_density;units_density;ba_total;ba_stem;ba_leaf;br;units_b;as_ba;cd_ba;cu_ba;pb_ba;zn_ba;se_ba;ni_ba;co_ba;mn_ba;cr_ba;hg_ba;units_te_ba;n_te_ba;organs_ba;as_br;cd_br;cu_br;pb_br;zn_br;se_br;ni_br;co_br;mn_br;cr_br;hg_br;units_te_br;n_te_br;organs_br;as_ba_1;cd_ba_1;cu_ba_1;pb_ba_1;zn_ba_1;se_ba_1;ni_ba_1;co_ba_1;mn_ba_1;cr_ba_1;hg_ba_1;units_te_ba_1;n_te_ba_1;organs_ba_1;as_ba_2;cd_ba_2;cu_ba_2;pb_ba_2;zn_ba_2;se_ba_2;ni_ba_2;co_ba_2;mn_ba_2;cr_ba_2;hg_ba_2;units_te_ba_2;n_te_ba_2;organs_ba_2;as_ba_3;cd_ba_3;cu_ba_3;pb_ba_3;zn_ba_3;se_ba_3;ni_ba_3;co_ba_3;mn_ba_3;cr_ba_3;hg_ba_3;units_te_ba_3;n_te_ba_3;organs_ba_3;comments
8296;Chopin;2008;France;Reims;;;Oceanic;;;750;mm;Vineyard soil;Mollisols;7.9;3.1;%;;;Clayey silt loam;;;;;;;;;;;;;;;;;233.7057719;142.4581371;319.3668995;;;;;;;mg kg-1;5;Total;Bioavailable fraction;Grapevine;Vitis vinifera;cv. Pinot;;;;;;;;;;7.45761605;0.8;29.3; ;;;;;;mg kg-1;5;leaves;;;36.13446135;2.6036;82.93878049;;;;;;;mg kg-1;5;roots;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6402;Chu;2018;China;Huainan;;;Subtropical monsoon;25;;;;;Copper mine tailings;6.92;0.25;%;;;;;;;;148.17;uScm-1;;;;;;;;;;2.72;918.03;26.25;262.46;;;;;74.13;;mg kg-1;3;Total;DTPA-extractable;Ryegrass;Lolium perenne;;;;;;;;;;0.126486572;55.9321234;2.17390087;92.5531598; ;;;;2.968088;;mg kg-1;3;shoots;;0.499459468;772.8813614;19.97282443;245.744754;;;;;7.0851088;;mg kg-1;3;roots;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1783;Ciura;2004;Poland;Krakow;;;Moderately continental;;;;;;Eutric Cambisols;4.8;;;1.2;%;;;;;;;;;;;;;;;;;0.58;7.44;8.2;43;;2.32;;177.3;1.05;;mg kg-1;4;Total;;Red beet;Beta vulgaris;var. cicla;;;;;;;;;1.04;7.6;3;31.2; ;;;23.5;0.7;;mg m2 year-1;4;leaves + roots;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1783;Ciura;2004;Poland;Krakow;;;Moderately continental;;;;;;Eutric Cambisols;4.8;;;1.2;%;;;;;;;;;;;;;;;;;0.58;7.44;8.2;43;;2.32;;177.3;1.05;;mg kg-1;4;Total;;Field pumpkin;Cucurbita pepo;convar. giromontiana;;;;;;;;;2.06;14.1;12.6;136.3; ;;;66.5;14.8;;mg m2 year-1;4;overground organs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1783;Ciura;2004;Poland;Krakow;;;Moderately continental;;;;;;Eutric Cambisols;4.8;;;1.2;%;;;;;;;;;;;;;;;;;0.58;7.44;8.2;43;;2.32;;177.3;1.05;;mg kg-1;4;Total;;Chicory;Cichorium intybus;var. foliosum;;;;;;;;;0.74;3.9;3.5;20.7; ;;;22.7;1.5;;mg m2 year-1;4;overground organs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1783;Ciura;2004;Poland;Krakow;;;Moderately continental;;;;;;Eutric Cambisols;4.8;;;1.2;%;;;;;;;;;;;;;;;;;0.58;7.44;8.2;43;;2.32;;177.3;1.05;;mg kg-1;4;Total;;Common bean;Phaseolus vulgaris;;;;;;;;;;0.42;5.2;2.6;22.5; ;;;16;3.2;;mg m2 year-1;4;overground organs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1783;Ciura;2004;Poland;Krakow;;;Moderately continental;;;;;;Eutric Cambisols;4.8;;;1.2;%;;;;;;;;;;;;;;;;;0.58;7.44;8.2;43;;2.32;;177.3;1.05;;mg kg-1;4;Total;;Barley;Hordeum vulgare;;;;;;;;;;0.57;3.6;4.6;39.5; ;;;16.8;14.3;;mg m2 year-1;4;overground organs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1783;Ciura;2004;Poland;Krakow;;;Moderately continental;;;;;;Eutric Cambisols;4.8;;;1.2;%;;;;;;;;;;;;;;;;;0.58;7.44;8.2;43;;2.32;;177.3;1.05;;mg kg-1;4;Total;;White cabbage;Brassica oleracea;var. capitata;;;;;;;;;1.49;6.2;8.3;29.5; ;;;31.6;3.8;;mg m2 year-1;4;overground organs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1783;Ciura;2004;Poland;Krakow;;;Moderately continental;;;;;;Eutric Cambisols;4.8;;;1.2;%;;;;;;;;;;;;;;;;;0.58;7.44;8.2;43;;2.32;;177.3;1.05;;mg kg-1;4;Total;;Maize;Zea mays;convar. saccharata;;;;;;;;;0.93;9.6;4.2;45; ;;;23.5;16.6;;mg m2 year-1;4;overground organs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1783;Ciura;2004;Poland;Krakow;;;Moderately continental;;;;;;Eutric Cambisols;4.8;;;1.2;%;;;;;;;;;;;;;;;;;0.58;7.44;8.2;43;;2.32;;177.3;1.05;;mg kg-1;4;Total;;Alfalfa;Medicago sativa;;;;;;;;;;1.26;12.4;11.7;43.8; ;;;46.9;10.3;;mg m2 year-1;4;overground organs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1783;Ciura;2004;Poland;Krakow;;;Moderately continental;;;;;;Eutric Cambisols;4.8;;;1.2;%;;;;;;;;;;;;;;;;;0.58;7.44;8.2;43;;2.32;;177.3;1.05;;mg kg-1;4;Total;;Common parsnip;Pastinaca sativa;;;;;;;;;;1.25;11.4;6.1;37.9; ;;;30;8.6;;mg m2 year-1;4;leaves + roots;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1041;Claveria;2019;Philippines;Luzon;;;Tropical rainforest;;;;;;Hydrothermally altered host rocks;3.62;6.09;%;;;;;;;;;;;;10.29;mg kg-1;Total;2.91;mg kg-1;Total;44.96;;165.53;;;;;;;;;mg kg-1;;Total;;Cut-Leaf Fern;Histiopteris incisa;;;;;;;;;;;1.43; ; ; ;;;;;;mg kg-1;;leaves+stems;;;7.51;;;;;;;;;mg kg-1;;roots;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1041;Claveria;2019;Philippines;Luzon;;;Tropical rainforest;;;;;;Hydrothermally altered host rocks;3.62;6.09;%;;;;;;;;;;;;10.29;mg kg-1;Total;2.91;mg kg-1;Total;44.96;;165.53;;;;;;;;;mg kg-1;;Total;;Sword Fern;Nephrolepis hirsutula;;;;;;;;;;;3.64; ; ; ;;;;;;mg kg-1;;leaves+stems;;;6.9;;;;;;;;;mg kg-1;;roots;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1041;Claveria;2019;Philippines;Luzon;;;Tropical rainforest;;;;;;Hydrothermally altered host rocks;3.62;6.09;%;;;;;;;;;;;;10.29;mg kg-1;Total;2.91;mg kg-1;Total;44.96;;165.53;;;;;;;;;mg kg-1;;Total;;Painted Fern;Pityrogramma calomelanos;;;;;;;;;1050;;9; ; ; ;;;;;;mg kg-1;;leaves+stems;1165;;48.38;;;;;;;;;mg kg-1;;roots;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
