user_supplied_name	submitted_name	matched_name2	score	implement	alternative	dupl
Zygophyllum fabago 	Zygophyllum fabago	Zygophyllum fabago	0.988			
Axonopus  affinis	Axonopus  affinis	Axonopus affinis	0.988			
Paspalum  plicatulum	Paspalum  plicatulum	Paspalum plicatulum	0.988			
Hordeum disticum	Hordeum disticum	Hordeum distichum	0.75			
Festuca  arundinacea	Festuca  arundinacea	Festuca arundinacea	0.988			
Erica andevalensis	Erica andevalensis	Erica andevalensis	0.988			
Sarcoconia fruticosa	Sarcoconia fruticosa	Sarcocornia fruticosa	0.75			
Frankenia corymbosa	Frankenia corymbosa	Frankenia corymbosa	0.988			
Cleome Africana	Cleome africana	Cleome africana	0.988			
Forsskalea tenacissima	Forsskalea tenacissima	Forsskaolea tenacissima	0.75			
Helianthus  annuus	Helianthus  annuus	Helianthus annuus	0.988			
Nicotiana  tabaccum	Nicotiana  tabaccum	Nicotiana tabaccum	0.988			
Astragalus aureus	Astragalus aureus	Astragalus aureus	0.988			
Astragalus uraniolimneus	Astragalus uraniolimneus	Astragalus uraniolimneus	0.988			
Sedum caucasicum	Sedum caucasicum	Sedum caucasicum	0.988			
Salix eriocephala Michx	Salix eriocephala michx	Salix eriocephala	0.988			
Eucalyptus camadulensis	Eucalyptus camadulensis	Eucalyptus camaldulensis	0.75			
Citrus x limon	Citrus x limon	Citrus limon	0.988			
Tamarix tetragyna	Tamarix tetragyna	Tamarix tetragyna	0.988			
Dodonea viscosa	Dodonea viscosa	Dodonaea viscosa	0.75			
Inula viscosa	Inula viscosa	Inula viscosa	0.988			
Pinus bruttia	Pinus bruttia	Pinus bruttia	0.988			
Acacia cyanophylla	Acacia cyanophylla	Acacia cyanophylla	0.988			
Helianthus annus	Helianthus annus	Helianthus annuus	0.75			
Chloris  gayana	Chloris  gayana	Chloris gayana	0.988			
Bosea cypria	Bosea cypria	Bosea cypria	0.988			
Salix smithiana	Salix smithiana	Salix smithiana	0.988			
Tilia grandifolia	Tilia grandifolia	Tilia grandifolia	0.988			
Vaccinium vitis-idaea	Vaccinium vitis-idaea	Vaccinium vitis-idaea	0.988			
Urtica doica	Urtica doica	Urtica dioica	0.75			
Triticum  durum	Triticum  durum	Triticum durum	0.988			
Bouteloua gracilis	Bouteloua gracilis	Bouteloua gracilis	0.988			
