user_supplied_name	submitted_name	matched_name2	score	implement	alternative	dupl
Zygophyllum fabago 	Zygophyllum fabago	Zygophyllum fabago	0.988	TRUE	Zygophyllum fabago	FALSE
Axonopus  affinis	Axonopus  affinis	Axonopus affinis	0.988	TRUE	Axonopus affinis	FALSE
Paspalum  plicatulum	Paspalum  plicatulum	Paspalum plicatulum	0.988	TRUE	Paspalum plicatulum	FALSE
Hordeum disticum	Hordeum disticum	Hordeum distichum	0.75	TRUE	Hordeum distichum	FALSE
Festuca  arundinacea	Festuca  arundinacea	Festuca arundinacea	0.988	TRUE	Festuca arundinacea	FALSE
Erica andevalensis	Erica andevalensis	Erica andevalensis	0.988	TRUE	Erica andevalensis	FALSE
Sarcoconia fruticosa	Sarcoconia fruticosa	Sarcocornia fruticosa	0.75	TRUE	Sarcocornia fruticosa	FALSE
Frankenia corymbosa	Frankenia corymbosa	Frankenia corymbosa	0.988	TRUE	Frankenia corymbosa	FALSE
Cleome Africana	Cleome africana	Cleome africana	0.988	TRUE	Cleome africana	FALSE
Forsskalea tenacissima	Forsskalea tenacissima	Forsskaolea tenacissima	0.75	TRUE	Forsskaolea tenacissima	FALSE
Helianthus  annuus	Helianthus  annuus	Helianthus annuus	0.988	TRUE	Helianthus annuus	FALSE
Nicotiana  tabaccum	Nicotiana  tabaccum	Nicotiana tabaccum	0.988	TRUE	Nicotiana tabaccum	FALSE
Astragalus aureus	Astragalus aureus	Astragalus aureus	0.988	TRUE	Astragalus aureus	FALSE
Astragalus uraniolimneus	Astragalus uraniolimneus	Astragalus uraniolimneus	0.988	TRUE	Astragalus uraniolimneus	FALSE
Sedum caucasicum	Sedum caucasicum	Sedum caucasicum	0.988	TRUE	Sedum caucasicum	FALSE
Salix eriocephala Michx	Salix eriocephala michx	Salix eriocephala	0.988	TRUE	Salix eriocephala	FALSE
Eucalyptus camadulensis	Eucalyptus camadulensis	Eucalyptus camaldulensis	0.75	TRUE	Eucalyptus camaldulensis	FALSE
Citrus x limon	Citrus x limon	Citrus limon	0.988	TRUE	Citrus limon	FALSE
Tamarix tetragyna	Tamarix tetragyna	Tamarix tetragyna	0.988	TRUE	Tamarix tetragyna	FALSE
Dodonea viscosa	Dodonea viscosa	Dodonaea viscosa	0.75	TRUE	Dodonaea viscosa	FALSE
Inula viscosa	Inula viscosa	Inula viscosa	0.988	TRUE	Inula viscosa	FALSE
Pinus bruttia	Pinus bruttia	Pinus bruttia	0.988	TRUE	Pinus bruttia	FALSE
Acacia cyanophylla	Acacia cyanophylla	Acacia cyanophylla	0.988	TRUE	Acacia cyanophylla	FALSE
Helianthus annus	Helianthus annus	Helianthus annuus	0.75	TRUE	Helianthus annuus	FALSE
Chloris  gayana	Chloris  gayana	Chloris gayana	0.988	TRUE	Chloris gayana	FALSE
Bosea cypria	Bosea cypria	Bosea cypria	0.988	TRUE	Bosea cypria	FALSE
Salix smithiana	Salix smithiana	Salix smithiana	0.988	TRUE	Salix smithiana	FALSE
Tilia grandifolia	Tilia grandifolia	Tilia grandifolia	0.988	TRUE	Tilia grandifolia	FALSE
Vaccinium vitis-idaea	Vaccinium vitis-idaea	Vaccinium vitis-idaea	0.988	TRUE	Vaccinium vitis-idaea	FALSE
Urtica doica	Urtica doica	Urtica dioica	0.75	TRUE	Urtica dioica	FALSE
Triticum  durum	Triticum  durum	Triticum durum	0.988	TRUE	Triticum durum	FALSE
Bouteloua gracilis	Bouteloua gracilis	Bouteloua gracilis	0.988	TRUE	Bouteloua gracilis	FALSE
Bouteloua scorpioides	Bouteloua scorpioides	Bouteloua scorpioides	0.988	TRUE	Bouteloua scorpioides	FALSE
Benincasa hispida	Benincasa hispida	Benincasa hispida	0.988	TRUE	Benincasa hispida	FALSE
Solidago decurrens	Solidago decurrens	Solidago decurrens	0.988	TRUE	Solidago decurrens	FALSE
Polygonum hydropiper	Polygonum hydropiper	Polygonum hydropiper	0.988	TRUE	Polygonum hydropiper	FALSE
Astragalus verus	Astragalus verus	Astragalus verus	0.988	TRUE	Astragalus verus	FALSE
Chenopodium botrys	Chenopodium botrys	Chenopodium botrys	0.988	TRUE	Chenopodium botrys	FALSE
Cousinia bijarensis	Cousinia bijarensis	Cousinia bijarensis	0.988	TRUE	Cousinia bijarensis	FALSE
