covidence#;author;year;country;location;latitude;longitude;climate;expe_t;mat (°C);map;map_units;soil;type;ph;oc;oc_units;om;om_units;texture;clay;clay_units;sand;sand_units;ec;ec_units;cec;cec_units;N;N_units;N_type;P;P_units;P_type;as_s;cd_s;cu_s;pb_s;zn_s;se_s;ni_s;co_s;mn_s;cr_s;hg_s;units_s;n_s;fraction_s;Bioavailable;sp;name;cultivar;p_density (ind./m2 or pots);ba_total;ba_stem;ba_leaf;br;units_b;as_ba;cd_ba;cu_ba;pb_ba;zn_ba;se_ba;ni_ba;co_ba;mn_ba;cr_ba;hg_ba;units_te_ba;n_te_ba;organs_ba;as_br;cd_br;cu_br;pb_br;zn_br;se_br;ni_br;co_br;mn_br;cr_br;hg_br;units_te_br;n_te_br;organs_br;as_ba_1;cd_ba_1;cu_ba_1;pb_ba_1_1;zn_ba_1;se_ba_1;ni_ba_1;co_ba_1;mn_ba_1;cr_ba_1;hg_ba_1;units_te_ba_1;n_te_ba_1;organs_ba_1;as_ba_2;cd_ba_2;cu_ba_2;pb_ba_2;zn_ba_2;se_ba_2;ni_ba_2;co_ba_2;mn_ba_2;cr_ba_2;hg_ba_2;units_te_ba_2;n_te_ba_2;organs_ba_2;as_ba_3;cd_ba_3;cu_ba_3;pb_ba_3;zn_ba_3;se_ba_3;ni_ba_3;co_ba_3;mn_ba_3;cr_ba_3;hg_ba_3;units_te_ba_3;n_te_ba_3;organs_ba_3;comments
7435;Back Salas-Luevano;2021;Mexico;San Martin;"23°40'14.72""N";"103°44'30.05""W";Temperate;;16.6;250;mm;Old tailing 7;Limestone;6.3;;;0.96;%;;9.82;%;76.64;%;2.02;ds m-1;;;;;;;;;2004;;;132;;;;;;;;mg kg;3;Total;;Hollow-stemmed Asphodel;Asphodelus fistulosus;;;;;;;;447;;;4.7;;;;;;;;mg kg;3;Shoots;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7435;Back Salas-Luevano;2021;Mexico;San Martin;"23°40'14.72""N";"103°44'30.05""W";Temperate;;16.6;250;mm;Old tailing 7;Limestone;6.3;;;0.96;%;;9.82;%;76.64;%;2.02;ds m-1;;;;;;;;;2004;;;132;;;;;;;;mg kg;3;Total;;Western Baccharis;Baccharis neglecta;;;;;;;;6;;;1;;;;;;;;mg kg;3;Shoots;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7435;Back Salas-Luevano;2021;Mexico;San Martin;"23°40'14.72""N";"103°44'30.05""W";Temperate;;16.6;250;mm;Old tailing 7;Limestone;6.3;;;0.96;%;;9.82;%;76.64;%;2.02;ds m-1;;;;;;;;;2004;;;132;;;;;;;;mg kg;3;Total;;Veronica-leaved Brickellbush;Brickellia veronicifoli;;;;;;;;91;;;2.3;;;;;;;;mg kg;3;Shoots;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7435;Back Salas-Luevano;2021;Mexico;San Martin;"23°40'14.72""N";"103°44'30.05""W";Temperate;;16.6;250;mm;Old tailing 7;Limestone;6.3;;;0.96;%;;9.82;%;76.64;%;2.02;ds m-1;;;;;;;;;2004;;;132;;;;;;;;mg kg;3;Total;;Mexican Cliffrose;Purshia mexican;;;;;;;;268;;;4.1;;;;;;;;mg kg;3;Shoots;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7435;Back Salas-Luevano;2021;Mexico;San Martin;"23°41'4.35""N";"103°44'39.95""W";Temperate;;16.6;250;mm;Dam tailing 3;Limestone;5.9;;;0.96;%;;9.82;%;76.64;%;1.85;ds m-1;;;;;;;;;1101;;;113;;;;;;;;mg kg;3;Total;;Western Baccharis;Baccharis neglecta;;;;;;;;110;;;1;;;;;;;;mg kg;3;Shoots;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7435;Back Salas-Luevano;2021;Mexico;San Martin;"23°41'4.35""N";"103°44'39.95""W";Temperate;;16.6;250;mm;Dam tailing 3;Limestone;5.9;;;0.96;%;;9.82;%;76.64;%;1.85;ds m-1;;;;;;;;;1101;;;113;;;;;;;;mg kg;3;Total;;Mexican Brickellbush;Brickellia secundiflora;;;;;;;;84;;;3.1;;;;;;;;mg kg;3;Shoots;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7435;Back Salas-Luevano;2021;Mexico;San Martin;"23°41'4.35""N";"103°44'39.95""W";Temperate;;16.6;250;mm;Dam tailing 3;Limestone;5.9;;;0.96;%;;9.82;%;76.64;%;1.85;ds m-1;;;;;;;;;1101;;;113;;;;;;;;mg kg;3;Total;;Gumdrop Tree;Gymposperma glutinosum ;;;;;;;;83;;;3.7;;;;;;;;mg kg;3;Shoots;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7435;Back Salas-Luevano;2021;Mexico;San Martin;"23°41'4.35""N";"103°44'39.95""W";Temperate;;16.6;250;mm;Dam tailing 3;Limestone;5.9;;;0.96;%;;9.82;%;76.64;%;1.85;ds m-1;;;;;;;;;1101;;;113;;;;;;;;mg kg;3;Total;;Heartleaf Goldeneye;Viguiera cordifolia ;;;;;;;;11;;;1;;;;;;;;mg kg;3;Shoots;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7435;Back Salas-Luevano;2021;Mexico;San Martin;"23°41'4.35""N";"103°44'39.95""W";Temperate;;16.6;250;mm;Dam tailing 3;Limestone;5.9;;;0.96;%;;9.82;%;76.64;%;1.85;ds m-1;;;;;;;;;1101;;;113;;;;;;;;mg kg;3;Total;;Feathertop Grass;Pennisetum villosum;;;;;;;;342;;;2.9;;;;;;;;mg kg;3;Shoots;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7435;Back Salas-Luevano;2021;Mexico;San Martin;"23°41'4.35""N";"103°44'39.95""W";Temperate;;16.6;250;mm;Dam tailing 3;Limestone;5.9;;;0.96;%;;9.82;%;76.64;%;1.85;ds m-1;;;;;;;;;1101;;;113;;;;;;;;mg kg;3;Total;;Mexican Butterfly Bush;Buddleja cordata ;;;;;;;;73;;;6.3;;;;;;;;mg kg;3;Shoots;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
