user_supplied_name	submitted_name	matched_name2	score	implement	alternative	dupl
Brickellia veronicifoli	Brickellia veronicifoli	Brickellia veronicifolia	0.75			
Purshia mexican	Purshia mexican	Purshia mexicana	0.75			
Brickellia secundiflora	Brickellia secundiflora	Brickellia secundiflora	0.988			
Gymposperma glutinosum 	Gymposperma glutinosum	Gymnosperma glutinosum	0.75			
Gymposperma glutinosum 	Gymposperma glutinosum	Gymnosperma glutinosa	0.75			
Viguiera cordifolia 	Viguiera cordifolia	Viguiera cordifolia	0.988			
Buddleja cordata 	Buddleja cordata	Buddleja cordata	0.988			
Hirshfeldia incana 	Hirshfeldia incana	Hirschfeldia incana	0.75			
Scrofularia canina 	Scrofularia canina	Scrophularia canina	0.75			
Reseda alba 	Reseda alba	Reseda alba	0.988			
Hedysarum coronarium 	Hedysarum coronarium	Hedysarum coronarium	0.988			
Anthyllis vulneraria 	Anthyllis vulneraria	Anthyllis vulneraria	0.988			
Gallium verum 	Gallium verum	Galium verum	0.75			
Daphné gnidium 	Daphné gnidium	Daphne gnidium	0.988			
Ampelodesma mauritanien 	Ampelodesma mauritanien	Ampelodesmos mauritanicus	0.75			
Ecbalium elaterium 	Ecbalium elaterium	Ecballium elaterium	0.75			
Borago officinalis 	Borago officinalis	Borago officinalis	0.988			
Galactite tomentosa 	Galactite tomentosa	Galactites tomentosa	0.75			
Galactite tomentosa 	Galactite tomentosa	Galactites tomentosus	0.75			
Juncus acutus 	Juncus acutus	Juncus acutus	0.988			
Bacopa monnierie 	Bacopa monnierie	Bacopa monnieri	0.75			
Bacopa monnierie 	Bacopa monnierie	Bacopa monnieria	0.75			
Bacopa monnierie 	Bacopa monnierie	Bacopa monniera	0.75			
Hiershfeldia incana 	Hiershfeldia incana	Hirschfeldia incana	0.75			
Daucus carota 	Daucus carota	Daucus carota	0.988			
Chrysopogon zizanioides 	Chrysopogon zizanioides	Chrysopogon zizanioides	0.988			
Silène colorata 	Silène colorata	Silene colorata	0.988			
Allium roseum 	Allium roseum	Allium roseum	0.988			
Evax pygma 	Evax pygma	Evax pygmea	0.75			
Bromus inermis 	Bromus inermis	Bromus inermis	0.988			
Biscutella didyma 	Biscutella didyma	Biscutella didyma	0.988			
Ulex	Ulex	Ulex	0.75			
Rhytidiadelphus 	Rhytidiadelphus	Rhytidiadelphus	0.75			
Agristis tenuis	Agristis tenuis	Agrostis tenuis	0.75			
