user_supplied_name	submitted_name	matched_name2	score	implement	alternative	dupl
Brickellia veronicifoli	Brickellia veronicifoli	Brickellia veronicifolia	0.75	TRUE	Brickellia veronicifolia	FALSE
Purshia mexican	Purshia mexican	Purshia mexicana	0.75	TRUE	Purshia mexicana	FALSE
Gymposperma glutinosum 	Gymposperma glutinosum	Gymnosperma glutinosum	0.75	TRUE	Gymnosperma glutinosum	FALSE
Gymposperma glutinosum 	Gymposperma glutinosum	Gymnosperma glutinosa	0.75	TRUE	Gymnosperma glutinosum	FALSE
Hirshfeldia incana 	Hirshfeldia incana	Hirschfeldia incana	0.75	TRUE	Hirschfeldia incana	FALSE
Scrofularia canina 	Scrofularia canina	Scrophularia canina	0.75	TRUE	Scrophularia canina	FALSE
Gallium verum 	Gallium verum	Galium verum	0.75	TRUE	Galium verum	FALSE
Ampelodesma mauritanien 	Ampelodesma mauritanien	Ampelodesmos mauritanicus	0.75	TRUE	Ampelodesmos mauritanicus	FALSE
Ecbalium elaterium 	Ecbalium elaterium	Ecballium elaterium	0.75	TRUE	Ecballium elaterium	FALSE
Galactite tomentosa 	Galactite tomentosa	Galactites tomentosa	0.75	TRUE	Galactites tomentosa	FALSE
Galactite tomentosa 	Galactite tomentosa	Galactites tomentosus	0.75	TRUE	Galactites tomentosa	FALSE
Bacopa monnierie 	Bacopa monnierie	Bacopa monnieri	0.75	TRUE	Bacopa monnieri	FALSE
Bacopa monnierie 	Bacopa monnierie	Bacopa monnieria	0.75	TRUE	Bacopa monnieri	FALSE
Bacopa monnierie 	Bacopa monnierie	Bacopa monniera	0.75	TRUE	Bacopa monnieri	FALSE
Hiershfeldia incana 	Hiershfeldia incana	Hirschfeldia incana	0.75	TRUE	Hirschfeldia incana	FALSE
Evax pygma 	Evax pygma	Evax pygmea	0.75	TRUE	Evax pygmaea	FALSE
Agristis tenuis	Agristis tenuis	Agrostis tenuis	0.75	TRUE	Agrostis tenuis	FALSE
Festuca rubra pruinosa	Festuca rubra pruinosa	Festuca rubra subsp. pruinosa	0.999	TRUE	Festuca rubra subsp. pruinosa	FALSE
Festuca rubra pruinosa	Festuca rubra pruinosa	Festuca rubra subvar. pruinosa	0.999	TRUE	Festuca rubra subsp. pruinosa	FALSE
Festuca rubra pruinosa	Festuca rubra pruinosa	Festuca rubra var. pruinosa	0.999	TRUE	Festuca rubra subsp. pruinosa	FALSE
Festuca rubra pruinosa	Festuca rubra pruinosa	Festuca rubra ssp. pruinosa	0.999	TRUE	Festuca rubra subsp. pruinosa	FALSE
Barcleyanthus salicifolius	Barcleyanthus salicifolius	Barkleyanthus salicifolius	0.75	TRUE	Barkleyanthus salicifolius	FALSE
Asclepia linaria	Asclepia linaria	Asclepias linaria	0.75	TRUE	Asclepias linaria	FALSE
Amsonia azurea	Amsonia azurea	Amsonia	0.75	TRUE	Anchusa azurea	FALSE
Piptaterium milliaceum	Piptaterium milliaceum	Piptatherum miliaceum	0.75	TRUE	Piptatherum miliaceum	FALSE
Capsella bursapastoris	Capsella bursapastoris	Capsella bursa-pastoris	0.75	TRUE	Capsella bursapastoris	FALSE
Lotus tetraphylus	Lotus tetraphylus	Lotus tetraphyllus	0.75	TRUE	Lotus tetraphyllus	FALSE
Alyssum mural	Alyssum mural	Alyssum murale	0.75	TRUE	Alyssum murale	FALSE
Cardamine draba	Cardamine draba	Cardamine	0.75	TRUE	Cardaria draba	FALSE
Erysimum subsrtigosum	Erysimum subsrtigosum	Erysimum substrigosum	0.75	TRUE	Erysimum substrigosum	FALSE
Lepidum ruderale	Lepidum ruderale	Lepidium ruderale	0.75	TRUE	Lepidium ruderale	FALSE
