covidence	author	year	country	location	latitude	longitude	climate	Experiment_T	mat..C.	map..mm.	season_exposure	day_exposure	soil	type	ph	om	om_units	oc	oc_units	texture	clay	clay_units	sand	sand_units	ec..dsm.1.	ec_units	cec	cec_units	N	N_units	N_types	P	P_units	P_types	as_s	cd_s	cu_s	pb_s	zn_s	se_s	ni_s	co_s	mn_s	cr_s	hg_s	units_s	n_s	fraction_s	Bioavailable	sp	name	cultivar	p_density..ind..m2.or.pots.	ba_total	ba_stem	ba_leaf	br	units_b	as_ba	cd_ba	cu_ba	pb_ba	zn_ba	se_ba	ni_ba	co_ba	mn_ba	cr_ba	hg_ba	units_te_ba	n_te_ba	organs_ba	as_br	cd_br	cu_br	pb_br	zn_br	se_br	ni_br	co_br	mn_br	cr_br	hg_br	units_te_br	n_te_br	organs_br	as_ba.1	cd_ba.1	cu_ba.1	pb_ba.1	zn_ba.1	se_ba.1	ni_ba.1	co_ba.1	mn_ba.1	cr_ba.1	hg_ba.1	units_te_ba.1	n_te_ba.1	organs_ba.1	as_ba.2	cd_ba.2	cu_ba.2	pb_ba.2	zn_ba.2	se_ba.2	ni_ba.2	co_ba.2	mn_ba.2	cr_ba.2	hg_ba.2	units_te_ba.2	n_te_ba.2	organs_ba.2	comments	AccSpeciesName_cor
63	Desjardins	2018	Canada	Montreal	45.563788	-73.562837	temperate	NA	6.8	1000	NA	122	NA	NA	7.9	7.8	%	NA	NA	NA	20.6	%	52.3	%	NA	NA	47	cmolc kg-1	1800	mg kg-1	total	25.1	mg kg-1	total	3.4	0.9	79.3	66.3	230.1	0.5	NA	NA	NA	67	NA	mg kg-1	32	total	water-soluble	F	Festuca arundinacea	NA	15 kg seeds/ha	346.6918466	NA	NA	223.5741663	g m-2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.97	3.12	1354.32	94.34	747.76	1.8	NA	NA	NA	165.55	NA	mg kg-1	4	roots	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.68	1.32	80.98	200.63	153.95	0.22	NA	NA	NA	12.23	NA	mg kg-1	4	shoots	NA	Festuca arundinacea
63	Desjardins	2018	Canada	Montreal	45.563788	-73.562837	temperate	NA	6.8	1000	NA	122	NA	NA	7.9	7.8	%	NA	NA	NA	20.6	%	52.3	%	NA	NA	47	cmolc kg-1	1800	mg kg-1	total	25.1	mg kg-1	total	3.4	0.9	79.3	66.3	230.1	0.5	NA	NA	NA	67	NA	mg kg-1	32	total	water-soluble	M	Medicago sativa	NA	15 kg seeds/ha	350.6616004	NA	NA	418.6311892	g m-2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.86	0.77	101.69	19.6	153.19	0.28	NA	NA	NA	27.09	NA	mg kg-1	4	roots	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.13	0.48	104.47	76.86	200.3	0.3	NA	NA	NA	21.8	NA	mg kg-1	4	shoots	NA	Medicago sativa
63	Desjardins	2018	Canada	Montreal	45.563788	-73.562837	temperate	NA	6.8	1000	NA	122	NA	NA	7.9	7.8	%	NA	NA	NA	20.6	%	52.3	%	NA	NA	47	cmolc kg-1	1800	mg kg-1	total	25.1	mg kg-1	total	3.4	0.9	79.3	66.3	230.1	0.5	NA	NA	NA	67	NA	mg kg-1	32	total	water-soluble	S	Salix miyabeana	SX67	6 ind/container	154.8204305	NA	NA	149.4296665	g m-2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.81	2.93	687.35	59.19	540.28	1.38	NA	NA	NA	92.37	NA	mg kg-1	4	roots	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.86	7.92	25.72	9.23	637.36	0.27	NA	NA	NA	4.77	NA	mg kg-1	4	shoots	NA	Salix miyabeana
2560	Granel	2002	New Zealand	Palmerston North	40.2 S	175.4 E	NA	NA	NA	NA	NA	90	NA	NA	5.7	NA	NA	6.3	%	Sandy loam	10	%	60	%	NA	NA	13.4	cmolc kg-1	NA	NA	NA	NA	NA	NA	NA	0.3	NA	NA	64	NA	NA	NA	597	NA	NA	mg kg-1	NA	total	NA	1	Salix viminalis	NA	1 ind/pot	68.62275854	NA	NA	NA	g	NA	5.82515717	NA	NA	212.673653	NA	NA	NA	379.7295256	NA	NA	mg kg-1	3	leaves	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Salix viminalis
2560	Granel	2002	New Zealand	Palmerston North	40.2 S	175.4 E	NA	NA	NA	NA	NA	90	NA	NA	5.7	NA	NA	6.3	%	Sandy loam	10	%	60	%	NA	NA	13.4	cmolc kg-1	NA	NA	NA	NA	NA	NA	NA	0.3	NA	NA	64	NA	NA	NA	597	NA	NA	mg kg-1	NA	total	NA	2	Salix opaca	NA	1 ind/pot	98.42049172	NA	NA	NA	g	NA	4.611268699	NA	NA	58.28323776	NA	NA	NA	237.4454525	NA	NA	mg kg-1	3	leaves	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Salix opaca
2560	Granel	2002	New Zealand	Palmerston North	40.2 S	175.4 E	NA	NA	NA	NA	NA	90	NA	NA	5.7	NA	NA	6.3	%	Sandy loam	10	%	60	%	NA	NA	13.4	cmolc kg-1	NA	NA	NA	NA	NA	NA	NA	0.3	NA	NA	64	NA	NA	NA	597	NA	NA	mg kg-1	NA	total	NA	3	Salix caprea x Salix viminalis	NA	1 ind/pot	33.97195867	NA	NA	NA	g	NA	9.987018099	NA	NA	214.0971504	NA	NA	NA	666.48303	NA	NA	mg kg-1	3	leaves	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Salix caprea x Salix viminalis
2560	Granel	2002	New Zealand	Palmerston North	40.2 S	175.4 E	NA	NA	NA	NA	NA	90	NA	NA	5.7	NA	NA	6.3	%	Sandy loam	10	%	60	%	NA	NA	13.4	cmolc kg-1	NA	NA	NA	NA	NA	NA	NA	0.3	NA	NA	64	NA	NA	NA	597	NA	NA	mg kg-1	NA	total	NA	4	Salix viminalis	NA	1 ind/pot	75.9139733	NA	NA	NA	g	NA	4.867424485	NA	NA	193.1676996	NA	NA	NA	323.4491644	NA	NA	mg kg-1	3	leaves	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Salix viminalis
2560	Granel	2002	New Zealand	Palmerston North	40.2 S	175.4 E	NA	NA	NA	NA	NA	90	NA	NA	5.7	NA	NA	6.3	%	Sandy loam	10	%	60	%	NA	NA	13.4	cmolc kg-1	NA	NA	NA	NA	NA	NA	NA	0.3	NA	NA	64	NA	NA	NA	597	NA	NA	mg kg-1	NA	total	NA	5	Salix schwerinii	NA	1 ind/pot	87.40664897	NA	NA	NA	g	NA	8.666801809	NA	NA	96.38555957	NA	NA	NA	352.1775084	NA	NA	mg kg-1	3	leaves	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Salix schwerinii
2560	Granel	2002	New Zealand	Palmerston North	40.2 S	175.4 E	NA	NA	NA	NA	NA	90	NA	NA	5.7	NA	NA	6.3	%	Sandy loam	10	%	60	%	NA	NA	13.4	cmolc kg-1	NA	NA	NA	NA	NA	NA	NA	0.3	NA	NA	64	NA	NA	NA	597	NA	NA	mg kg-1	NA	total	NA	6	Salix disperma	NA	1 ind/pot	52.6439236	NA	NA	NA	g	NA	3.810689592	NA	NA	166.6184713	NA	NA	NA	97.27360852	NA	NA	mg kg-1	3	leaves	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Salix disperma
2560	Granel	2002	New Zealand	Palmerston North	40.2 S	175.4 E	NA	NA	NA	NA	NA	90	NA	NA	5.7	NA	NA	6.3	%	Sandy loam	10	%	60	%	NA	NA	13.4	cmolc kg-1	NA	NA	NA	NA	NA	NA	NA	0.3	NA	NA	64	NA	NA	NA	597	NA	NA	mg kg-1	NA	total	NA	7	Salix dasyclados	NA	1 ind/pot	31.06043692	NA	NA	NA	g	NA	7.636813832	NA	NA	165.9473875	NA	NA	NA	482.0179877	NA	NA	mg kg-1	3	leaves	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Salix dasyclados
