user_supplied_name	submitted_name	matched_name2	score	implement	alternative	dupl
Salix opaca	Salix opaca	Salix opaca	0.988			
Salix caprea x Salix viminalis	Salix caprea x salix viminalis	Salix caprea	0.988			
Salix disperma	Salix disperma	Salix disperma	0.988			
Salix dasyclados	Salix dasyclados	Salix dasyclados	0.988			
Salix matsudana x Salix alba	Salix matsudana x salix alba	Salix matsudana	0.988			
Salix babylonica x Salix alba	Salix babylonica x salix alba	Salix babylonica	0.988			
Quercus infectoria	Quercus infectoria	Quercus infectoria	0.988			
Populus nigra x Populus maximowiczii	Populus nigra x populus maximowiczii	Populus nigra	0.988			
Salix rubens	Salix rubens	Salix rubens	0.988			
Populus nigra x maximowiczii	Populus nigra x maximowiczii	Populus nigra	0.988			
Salix smithiana	Salix smithiana	Salix smithiana	0.988			
Populus maximowiczii x Populus nigra	Populus maximowiczii x populus nigra	Populus maximowiczii	0.988			
Salix chilensis	Salix chilensis	Salix chilensis	0.988			
Salix matsudana	Salix matsudana	Salix matsudana	0.988			
Salix reichardtii	Salix reichardtii	Salix reichardtii	0.988			
Salix suchowensis x Salix leucopithecia	Salix suchowensis x salix leucopithecia	Salix suchowensis	0.988			
Salix suchowensis	Salix suchowensis	Salix suchowensis	0.988			
Salix suchowensis x Salix integra	Salix suchowensis x salix integra	Salix suchowensis	0.988			
Salix integra x Salix suchowensis	Salix integra x salix suchowensis	Salix integra	0.988			
(Salix schwerinii x Salix viminalis) x Salix viminalis	NA	NA	NA			
