user_supplied_name	submitted_name	matched_name2	score	implement	alternative	dupl
Salix opaca	Salix opaca	Salix opaca	0.988	TRUE	Salix opaca	FALSE
Salix caprea x Salix viminalis	Salix caprea x salix viminalis	Salix caprea	0.988	TRUE	Salix caprea x Salix viminalis	FALSE
Salix disperma	Salix disperma	Salix disperma	0.988	TRUE	Salix disperma	FALSE
Salix dasyclados	Salix dasyclados	Salix dasyclados	0.988	TRUE	Salix dasyclados	FALSE
Salix matsudana x Salix alba	Salix matsudana x salix alba	Salix matsudana	0.988	TRUE	Salix matsudana x Salix alba	FALSE
Salix babylonica x Salix alba	Salix babylonica x salix alba	Salix babylonica	0.988	TRUE	Salix babylonica x Salix alba	FALSE
Quercus infectoria	Quercus infectoria	Quercus infectoria	0.988	TRUE	Quercus infectoria	FALSE
Populus nigra x Populus maximowiczii	Populus nigra x populus maximowiczii	Populus nigra	0.988	TRUE	Populus nigra x Populus maximowiczii	FALSE
Salix rubens	Salix rubens	Salix rubens	0.988	TRUE	Salix rubens	FALSE
Populus nigra x maximowiczii	Populus nigra x maximowiczii	Populus nigra	0.988	TRUE	Populus nigra x maximowiczii	FALSE
Salix smithiana	Salix smithiana	Salix smithiana	0.988	TRUE	Salix smithiana	FALSE
Populus maximowiczii x Populus nigra	Populus maximowiczii x populus nigra	Populus maximowiczii	0.988	TRUE	Populus maximowiczii x Populus nigra	FALSE
Salix chilensis	Salix chilensis	Salix chilensis	0.988	TRUE	Salix chilensis	FALSE
Salix matsudana	Salix matsudana	Salix matsudana	0.988	TRUE	Salix matsudana	FALSE
Salix reichardtii	Salix reichardtii	Salix reichardtii	0.988	TRUE	Salix reichardtii	FALSE
Salix suchowensis x Salix leucopithecia	Salix suchowensis x salix leucopithecia	Salix suchowensis	0.988	TRUE	Salix suchowensis x Salix leucopithecia	FALSE
Salix suchowensis	Salix suchowensis	Salix suchowensis	0.988	TRUE	Salix suchowensis	FALSE
Salix suchowensis x Salix integra	Salix suchowensis x salix integra	Salix suchowensis	0.988	TRUE	Salix suchowensis x Salix integra	FALSE
Salix integra x Salix suchowensis	Salix integra x salix suchowensis	Salix integra	0.988	TRUE	Salix integra x Salix suchowensis	FALSE
(Salix schwerinii x Salix viminalis) x Salix viminalis	NA	NA	NA	TRUE	(Salix schwerinii x Salix viminalis) x Salix viminalis	FALSE
